electricity_load,temperature,hour,day,month,day_of_the_week,holiday
22512.775,-1.21,9,27,1,1,0
22950.35,-0.63,10,27,1,1,0
23050.725,-0.01,11,27,1,1,0
23244.65,0.3,12,27,1,1,0
23334.8,0.31,13,27,1,1,0
23389.05,0.3,14,27,1,1,0
23129.8,0.42,15,27,1,1,0
22986.625,0.42,16,27,1,1,0
23644.075,0.4,17,27,1,1,0
24242.4,0.4,18,27,1,1,0
23893.025,0.32,19,27,1,1,0
23664.075,0.37,20,27,1,1,0
23008.975,0.34,21,27,1,1,0
21298.775,0.35,22,27,1,1,0
19786.575,0.3,23,27,1,1,0
18361.55,0.28,0,28,1,2,0
17386.1,0.27,1,28,1,2,0
16863.575,0.25,2,28,1,2,0
16517.325,0.24,3,28,1,2,0
16515.7,0.23,4,28,1,2,0
16801.425,0.23,5,28,1,2,0
17580.725,0.2,6,28,1,2,0
20217.55,0.34,7,28,1,2,0
21762.95,0.53,8,28,1,2,0
22628.4,0.74,9,28,1,2,0
23006.95,1.0,10,28,1,2,0
23006.6,1.22,11,28,1,2,0
23256.15,1.3,12,28,1,2,0
23209.3,1.25,13,28,1,2,0
23292.85,1.11,14,28,1,2,0
22959.45,0.95,15,28,1,2,0
22696.225,0.68,16,28,1,2,0
23381.3,0.42,17,28,1,2,0
23990.775,0.3,18,28,1,2,0
23745.8,0.24,19,28,1,2,0
23576.05,0.18,20,28,1,2,0
22901.35,0.2,21,28,1,2,0
21161.375,0.13,22,28,1,2,0
19636.825,0.1,23,28,1,2,0
18303.325,0.07,0,29,1,3,0
17214.35,0.04,1,29,1,3,0
16684.525,0.08,2,29,1,3,0
16284.225,0.08,3,29,1,3,0
16245.75,0.09,4,29,1,3,0
16524.575,0.15,5,29,1,3,0
17311.475,0.2,6,29,1,3,0
19923.375,0.19,7,29,1,3,0
21531.325,0.28,8,29,1,3,0
22412.175,0.55,9,29,1,3,0
22853.025,0.89,10,29,1,3,0
22973.575,1.08,11,29,1,3,0
23196.25,1.1,12,29,1,3,0
23160.025,0.96,13,29,1,3,0
23140.9,0.61,14,29,1,3,0
22702.225,0.27,15,29,1,3,0
22353.875,0.12,16,29,1,3,0
23012.0,-0.17,17,29,1,3,0
23807.825,-0.2,18,29,1,3,0
23642.825,-0.35,19,29,1,3,0
23419.65,-0.54,20,29,1,3,0
22705.825,-0.56,21,29,1,3,0
21064.25,-0.63,22,29,1,3,0
19613.8,-0.69,23,29,1,3,0
18118.225,-0.69,0,30,1,4,0
17226.275,-0.61,1,30,1,4,0
16642.275,-0.6,2,30,1,4,0
16356.275,-0.45,3,30,1,4,0
16371.375,-0.39,4,30,1,4,0
16612.05,-0.39,5,30,1,4,0
17410.875,-0.3,6,30,1,4,0
19978.325,-0.06,7,30,1,4,0
21276.35,0.56,8,30,1,4,0
22206.525,1.35,9,30,1,4,0
22589.775,1.94,10,30,1,4,0
22797.275,2.27,11,30,1,4,0
22935.275,2.4,12,30,1,4,0
23031.175,2.5,13,30,1,4,0
22959.975,2.44,14,30,1,4,0
22784.2,2.19,15,30,1,4,0
22558.075,1.95,16,30,1,4,0
23315.725,1.77,17,30,1,4,0
23944.575,1.5,18,30,1,4,0
23625.725,1.32,19,30,1,4,0
23220.925,1.14,20,30,1,4,0
22475.125,0.91,21,30,1,4,0
20868.075,0.76,22,30,1,4,0
19523.625,0.55,23,30,1,4,0
18224.625,0.37,0,31,1,5,0
17174.025,0.32,1,31,1,5,0
16462.325,0.19,2,31,1,5,0
16075.75,0.06,3,31,1,5,0
16030.725,-0.21,4,31,1,5,0
16058.65,-0.49,5,31,1,5,0
16163.45,-0.5,6,31,1,5,0
17191.025,-0.53,7,31,1,5,0
17711.7,-0.39,8,31,1,5,0
19043.65,-0.15,9,31,1,5,0
19946.625,0.0,10,31,1,5,0
20366.975,0.1,11,31,1,5,0
20501.8,0.1,12,31,1,5,0
20370.8,-0.1,13,31,1,5,0
20337.925,-0.2,14,31,1,5,0
19708.5,-0.29,15,31,1,5,0
19504.45,-0.46,16,31,1,5,0
20239.9,-0.5,17,31,1,5,0
21196.025,-0.6,18,31,1,5,0
21053.4,-0.76,19,31,1,5,0
20739.3,-0.99,20,31,1,5,0
20087.35,-1.21,21,31,1,5,0
18854.8,-1.46,22,31,1,5,0
